Tag_Number,DBH_2019,DBH_2022,Species Co,LatinName,Species _1,Hazard_Rat,Sun,Hazard
2,73.5,74.4,QUAL,Quercus alba,White Oak,Healthy,Partial,0
4,12.2,13.3,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
6,7,7.2,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
7,7.7,9.8,ULAM,Ulmus americana,American Elm,Healthy,Partial,0
8,40.2,42.7,QURU,Quercus rubra,Northern Red Oak,Some distress,Partial,0
9,42,43.5,QURU,Quercus rubra,Northern Red Oak,Healthy,Partial,0
10,11.1,12.4,ULAM,Ulmus americana,American Elm,Healthy,Partial,0
11,14.3,15.2,CASP,Catalpa speciosa,Northern Catalpa,Healthy,Partial,0
12,5.4,6.6,ULAM,Ulmus americana,American Elm,Healthy,Partial,0
13,9.2,11,ULAM,Ulmus americana,American Elm,Healthy,Partial,0
14,21.9,26.7,CEOC,Celtis occidentalis,Northern Hackberry,Healthy,Partial,0
15,74.4,83.2,CAGL,Carya glabra,Pignut Hickory,Some distress,Partial,0
16,24.3,24.8,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
17,20.8,21,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
18,13.1,15.1,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
19,29.9,33.5,QUAL,Quercus alba,White Oak,Healthy,Partial,0
20,29.6,29.9,QURU,Quercus rubra,Northern Red Oak,Healthy,Partial,2
21,4.6,4.6,CAGL,Carya glabra,Pignut Hickory,Some distress,Partial,0
22,8.9,8.8,ACPL,Acer platanoides,Norway Maple,Some distress,Shade,0
23,7.9,34.6,ACNE,Acer negundo,Boxelder,Some distress,Shade,1
24,5.5,6.2,ACPL,Acer platanoides,Norway Maple,Healthy,Shade,0
25,47.7,49,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
26,10.8,12.3,ACPL,Acer platanoides,Norway Maple,Healthy,Shade,0
27,52.7,55,JUNI,Juglans nigra,Black Walnut,Healthy,Partial,0
35,11.4,11.5,ACPL,Acer platanoides,Norway Maple,Healthy,Shade,0
36,10.7,11.9,ACPL,Acer platanoides,Norway Maple,Some distress,Shade,0
37,19.4,19.9,ACPL,Acer platanoides,Norway Maple,Healthy,Shade,0
38,25.9,26.2,ULAM,Ulmus americana,American Elm,Healthy,Partial,0
39,60.4,62.2,ULAM,Ulmus americana,American Elm,Healthy,Partial,0
40,7.5,8.7,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
41,7.4,9.2,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
43,11.5,13.5,TIAM,Tilia americana,American Basswood,Healthy,Shade,0
44,103.3,106.3,JUNI,Juglans nigra,Black Walnut,Healthy,Partial,0
45,37.1,39.5,TIAM,Tilia americana,American Basswood,Some distress,Partial,0
46,4.5,5.2,ACNE,Acer negundo,Boxelder,Some distress,Partial,0
47,47.9,48.8,PRSE1,Prunus serotina,Black Cherry,Healthy,Partial,0
48,6.5,6.7,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
49,17.8,19.2,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
56,9.3,9.5,ACPL,Acer platanoides,Norway Maple,Healthy,Shade,0
57,14.2,14.8,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
58,58,57.9,CAGL,Carya glabra,Pignut Hickory,Some distress,Partial,0
59,9.8,10.8,TIAM,Tilia americana,American Basswood,Some distress,Shade,0
60,34.4,34.7,ULAM,Ulmus americana,American Elm,Healthy,Partial,0
61,13.4,14.5,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
62,38.3,39.7,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
63,4.7,4.8,ACPL,Acer platanoides,Norway Maple,Healthy,Shade,0
64,7.8,9.4,TIAM,Tilia americana,American Basswood,Healthy,Shade,0
65,52.3,53.3,ROPS,Robinia pseudoacacia,Black Locust,Extreme distress,Partial,2
66,8.3,8.2,ACPL,Acer platanoides,Norway Maple,Healthy,Shade,0
67,55.7,24.2,JUNI,Juglans nigra,Black Walnut,Healthy,Partial,0
68,22.7,57.9,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
69,,6.8,,,,Extreme distress,,
